epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1158,3.0295,5.20253,2.45365,0.24252,0.04585,0.01547,0.00819,2.57688,4.65111,2.31344,0.000326797,0.000326797,0.000326797
2,30.5779,2.46487,3.60481,2.011,0.03399,0.04973,0.02037,0.00884,2.58379,4.03008,2.22955,0.000657952,0.000657952,0.000657952
3,45.9523,2.4467,3.51541,2.00977,0.41857,0.02244,0.02751,0.01131,2.93661,4.0235,2.79317,0.000986907,0.000986907,0.000986907
4,60.8345,2.35334,3.41312,1.95812,0.1574,0.06729,0.03439,0.01546,2.51269,3.53272,2.27238,0.0009901,0.0009901,0.0009901
5,75.8233,2.3138,3.36598,1.91647,0.0447,0.12216,0.03774,0.01494,2.39759,3.67456,2.0886,0.0009868,0.0009868,0.0009868
6,89.3533,2.30913,3.38666,1.92537,0.11445,0.07697,0.03498,0.01221,2.65783,3.48057,2.33075,0.0009835,0.0009835,0.0009835
7,102.948,2.2807,3.28947,1.89094,0.28596,0.07024,0.03809,0.01553,2.32232,3.43689,2.12484,0.0009802,0.0009802,0.0009802
8,117.898,2.25804,3.29478,1.90196,0.30367,0.06353,0.04085,0.01447,2.40063,3.3044,2.19885,0.0009769,0.0009769,0.0009769
9,131.465,2.20954,3.22844,1.88106,0.10557,0.10859,0.05402,0.02233,2.24325,3.19417,2.04918,0.0009736,0.0009736,0.0009736
10,146.437,2.19644,3.23632,1.89577,0.23735,0.04783,0.03639,0.01638,2.30562,3.40415,2.11296,0.0009703,0.0009703,0.0009703
11,160.003,2.21312,3.24747,1.85574,0.24376,0.06319,0.04575,0.01735,2.37489,3.42832,2.14598,0.000967,0.000967,0.000967
12,173.649,2.19797,3.19815,1.85996,0.31734,0.06818,0.05804,0.02179,2.39669,3.31806,2.18695,0.0009637,0.0009637,0.0009637
13,190.201,2.17694,3.14032,1.86182,0.27471,0.05523,0.05844,0.02399,2.27122,3.26601,2.08981,0.0009604,0.0009604,0.0009604
