epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2613,1.75935,3.74909,1.45365,0.225,0.50999,0.26715,0.15495,1.44271,2.80559,1.25153,0.000326797,0.000326797,0.000326797
2,31.2656,1.36984,2.11493,1.22028,0.29973,0.48335,0.33392,0.19977,1.36461,2.02215,1.2285,0.000657952,0.000657952,0.000657952
3,48.6603,1.33007,1.92159,1.19639,0.38806,0.46558,0.42069,0.22116,1.75436,2.09745,1.46294,0.000986907,0.000986907,0.000986907
4,65.913,1.29556,1.71947,1.17066,0.45094,0.56642,0.49752,0.33076,1.23575,1.66649,1.24052,0.0009901,0.0009901,0.0009901
5,82.5053,1.23475,1.5955,1.15896,0.48765,0.64125,0.55641,0.36988,1.26373,1.39122,1.23326,0.0009868,0.0009868,0.0009868
6,98.8829,1.20625,1.47162,1.15677,0.43541,0.61669,0.579,0.38724,1.25586,1.39022,1.18013,0.0009835,0.0009835,0.0009835
7,115.507,1.18492,1.40562,1.13406,0.5884,0.62141,0.60898,0.37893,1.40731,1.35741,1.27978,0.0009802,0.0009802,0.0009802
8,130.479,1.14282,1.33922,1.13121,0.56809,0.64155,0.63898,0.4738,1.09311,1.30177,1.12693,0.0009769,0.0009769,0.0009769
9,149.8,1.11904,1.25053,1.10011,0.57309,0.63538,0.60777,0.44047,1.07104,1.45925,1.11473,0.0009736,0.0009736,0.0009736
10,164.546,1.0911,1.212,1.1059,0.62238,0.66878,0.65919,0.46844,1.22003,1.20923,1.17836,0.0009703,0.0009703,0.0009703
11,179.777,1.12242,1.23921,1.11559,0.60557,0.6656,0.67499,0.43643,1.38512,1.30364,1.2471,0.000967,0.000967,0.000967
12,194.786,1.0935,1.20398,1.10282,0.6603,0.69418,0.70918,0.48824,1.30201,1.18454,1.21099,0.0009637,0.0009637,0.0009637
13,211.975,1.08601,1.18673,1.09041,0.61847,0.66474,0.70163,0.49392,1.16046,1.12824,1.13553,0.0009604,0.0009604,0.0009604
14,228.802,1.0703,1.12943,1.07925,0.63837,0.70403,0.69007,0.48533,1.17075,1.17328,1.1321,0.0009571,0.0009571,0.0009571
15,243.732,1.03466,1.10242,1.0777,0.71734,0.65317,0.73133,0.49846,1.29097,1.17366,1.2438,0.0009538,0.0009538,0.0009538
16,260.247,1.05196,1.11216,1.09407,0.70253,0.69278,0.73504,0.5215,1.13811,1.12954,1.09434,0.0009505,0.0009505,0.0009505
17,276.885,1.03348,1.07029,1.06319,0.63899,0.72535,0.69777,0.53497,0.96876,1.13832,1.06272,0.0009472,0.0009472,0.0009472
18,293.498,1.02424,1.042,1.06605,0.64367,0.77885,0.71339,0.49446,1.20458,1.08345,1.13457,0.0009439,0.0009439,0.0009439
19,308.488,1.02641,1.0545,1.05623,0.675,0.72222,0.7077,0.49356,1.19051,1.08788,1.12186,0.0009406,0.0009406,0.0009406
20,323.452,1.01966,1.06966,1.08354,0.60027,0.74311,0.71328,0.53984,0.93089,1.10509,0.99775,0.0009373,0.0009373,0.0009373
21,340.165,0.99349,1.0304,1.06065,0.68508,0.73709,0.7596,0.56247,1.03419,1.09271,1.05198,0.000934,0.000934,0.000934
22,357.28,0.99729,1.01822,1.04437,0.64687,0.74708,0.71352,0.54124,0.99972,1.07555,1.04794,0.0009307,0.0009307,0.0009307
23,375.462,0.98102,0.98812,1.04227,0.69249,0.68922,0.71745,0.53798,1.0145,1.01775,1.08945,0.0009274,0.0009274,0.0009274
24,392.777,0.99238,1.00168,1.04989,0.68706,0.74585,0.74393,0.53814,1.06089,1.06475,1.06468,0.0009241,0.0009241,0.0009241
25,409.58,0.9777,0.96253,1.05042,0.75126,0.70697,0.77598,0.56715,1.08382,0.99323,1.08075,0.0009208,0.0009208,0.0009208
26,426.184,1.00571,0.97509,1.05491,0.69029,0.72236,0.7606,0.55236,1.0254,1.05028,1.05316,0.0009175,0.0009175,0.0009175
27,441.192,0.97774,0.96833,1.05091,0.70272,0.72661,0.77054,0.59507,0.93594,1.01214,1.02587,0.0009142,0.0009142,0.0009142
28,457.904,0.9678,0.95582,1.02768,0.65267,0.79717,0.75729,0.58457,0.9179,0.95488,1.02541,0.0009109,0.0009109,0.0009109
29,473.332,0.94458,0.91781,1.02545,0.68593,0.77421,0.75457,0.58586,0.89775,0.97625,0.99606,0.0009076,0.0009076,0.0009076
30,488.374,0.92943,0.91519,1.0242,0.67226,0.75843,0.73593,0.55968,0.95743,1.01653,1.01388,0.0009043,0.0009043,0.0009043
31,503.267,0.95291,0.94415,1.03462,0.65683,0.78591,0.74968,0.58106,0.9196,0.94383,0.99092,0.000901,0.000901,0.000901
32,518.307,0.95859,0.91878,1.03876,0.71348,0.79515,0.77496,0.58054,1.01145,0.94963,1.03967,0.0008977,0.0008977,0.0008977
33,533.457,0.9614,0.93423,1.02764,0.71488,0.74111,0.77759,0.60319,0.92083,0.98923,1.03818,0.0008944,0.0008944,0.0008944
